"country","year","militaryexpenditures","lifeExp","GDPpercap","GDP","HIV","healthcare","womenEd","menEd"
"Tanzania",1989,2.38264299802761,55.39,587559.85894,14100058199302.1,NA,NA,1.8,3.7
"Thailand",1989,2.61175054404024,70.76,2536657.63564484,142775706532514,NA,NA,4.4,5.6
"Togo",1989,3.09405301208037,57.65,584824.802774442,2090231916215.8,NA,NA,0.9,2.9
"Tunisia",1989,2.31493550506262,71.13,3153584.92697646,25098418698252,NA,NA,1.7,4.9
"Turkey",1989,3.16728685369202,67.53,6421460.27488186,341626836634856,NA,NA,2.9,5.2
"Uganda",1989,3.48632177409082,51.08,361979.654989102,6185662547786.8,NA,NA,1.7,4
"United Kingdom",1989,3.8977752563424,75.36,39982799.3886576,2199605380119440,NA,NA,11.1,11.5
"United States",1989,5.59010607202603,75.1,56196801.4467116,13870438336275880,NA,NA,12.6,12.8
"Uruguay",1989,3.52912606820446,72.81,10548018.7980826,32573442330546.8,NA,NA,7.6,7.4
"Vietnam",1989,7.28651280963877,69,441199.301824008,28578243576348.4,NA,NA,4.5,6.6
"Zambia",1989,4.16808612591489,52.59,799967.906512482,6084307088978.66,NA,NA,2.7,5.2
"Zimbabwe",1989,4.55111490043303,63.81,1033457.02403071,10509418767288.8,NA,NA,3.6,5.5
"Albania",1990,5.88830083175259,73.3,1955531.05965433,6432686176704.88,NA,NA,6.5,7.8
"Algeria",1990,1.4573587554321,70.2,3665486.7387934,92733816123320.6,60,NA,1.9,2.5
"Argentina",1990,1.36821335532423,72.5,11163924.6828859,364417763953472,3000,NA,7.9,8
"Australia",1990,2.10441979609988,77,35106753.6834616,597302972146996,350,NA,10.2,10.6
"Austria",1990,1.19733665316345,75.7,38384143.4413086,294707695720852,60,NA,9.2,10.6
"Bahrain",1990,5.1056338028169,71.8,18855712.1581557,9293810821345.52,NA,NA,4,5.7
"Bangladesh",1990,1.1106479349686,57.9,560347.367437412,58979937076024,60,NA,1.3,3.6
"Belgium",1990,2.28952144677842,76,37475917.564368,373538023049874,60,NA,9.6,10.2
"Belize",1990,1.14998188693793,71.4,4953635.05995258,936599999998.14,60,NA,6.2,6.7
"Benin",1990,1.77174009393457,56.1,591566.570249558,2823628284421.26,120,NA,0.7,2.1
"Bolivia",1990,2.82326068349941,61.6,1742452.15461123,11602051458297,1500,NA,3.9,5.9
"Botswana",1990,4.12628414641928,62.3,4671668.74036828,6457745975538.46,600,NA,2.9,2.9
"Brazil",1990,6.32966494325592,67.9,6705930.8067672,1003543926654458,4600,NA,4.4,4.6
"Brunei",1990,6.56636890769472,73.8,38150034.9696466,9618577566722.16,NA,NA,NA,NA
"Bulgaria",1990,3.7452690131946,71.4,3341896.6000665,29128463203249.8,60,NA,9.6,9.9
"Burkina Faso",1990,2.25018505067082,51.4,333682.554835626,3111254806557.16,6700,NA,0.3,0.8
"Burundi",1990,3.50736029874457,45.6,363890.741872536,2038414046562.22,3900,NA,0.9,2.2
"Cameroon",1990,1.49427344217959,58.4,1330821.28413648,17585324516678.6,600,NA,1.9,4
"Canada",1990,1.9587569732366,77.4,39123758.6729414,1087288377279714,1300,NA,12.3,12.4
"Chile",1990,4.15700293390874,73.1,6135301.16038876,80911253484299.2,NA,NA,7.8,8.1
"China",1990,2.62484063467575,66.7,783305.905774058,889197114646124,NA,NA,3.3,5.4
"Colombia",1990,2.20979485886035,71.5,4649687.2667112,154385058866225,1100,NA,4.8,5.2
"Cote d'Ivoire",1990,1.33363727100203,55.3,1325735.06939753,16595106812673.6,3900,NA,0.8,2.5
"Cuba",1990,6.40627829058045,74.7,6677570.16826746,70584106921602.2,60,NA,7.9,8.3
"Cyprus",1990,7.3740356066831,76.8,21363529.602,12388668089688.1,NA,NA,8.5,9.9
"Denmark",1990,1.95075703504915,75.1,48195815.8359922,247771749268070,60,NA,11,11.5
"Djibouti",1990,6.87911907469007,61,2347653.07334192,1320061846609.43,60,NA,0.7,3.2
"Dominican Republic",1990,0.67655858211558,71.8,3701390.02562366,26630264970093.6,350,NA,NA,NA
"Ecuador",1990,1.95150235477471,71.2,2598422.40897738,26661339190062,600,NA,5.5,6.2
"Egypt",1990,4.66414323552887,65.2,2307369.02699694,131158412128069,60,NA,2.7,5.3
